15.02.2024,Groceries,"19,46",,5,.02.24
16.02.2024,Health,"254,79",iherb,6,.02.24
17.02.2024,Bad habits,"9,15",,7,.02.24
17.02.2024,Groceries,"11,84",,7,.02.24
17.02.2024,Hobby,"20,00",,7,.02.24
17.02.2024,Hobby,"20,00",,7,.02.24
17.02.2024,Health,"51,73",,7,.02.24
17.02.2024,Pets,"53,09",,7,.02.24
17.02.2024,Delivery,"39,54",,7,.02.24
18.02.2024,Regular,"9,00",apple,1,.02.24
18.02.2024,Hobby,"20,00",волейбол,1,.02.24
18.02.2024,Transport,"10,00",,1,.02.24
18.02.2024,Regular,"97,92",Adobe Illustrator,1,.02.24
18.02.2024,Hobby,"88,00",Стрипы,1,.02.24
18.02.2024,Bad habits,"7,80",,1,.02.24
18.02.2024,Transport,"31,40",,1,.02.24
18.02.2024,Hobby,"140,00",,1,.02.24
18.02.2024,Regular,"32,00",,1,.02.24
18.02.2024,Outside lunch,"32,45",,1,.02.24
18.02.2024,Groceries,"71,45",,1,.02.24
20.02.2024,Bad habits,"7,80",,3,.02.24
20.02.2024,Pets,"131,00",,3,.02.24
20.02.2024,Delivery,"49,44",,3,.02.24
20.02.2024,Groceries,"9,07",,3,.02.24
21.02.2024,Bad habits,"7,80",,4,.02.24
21.02.2024,Groceries,"4,60",,4,.02.24
21.02.2024,Hobby,"15,00",,4,.02.24
21.02.2024,Delivery,"24,72",,4,.02.24
21.02.2024,Groceries,"2,59",,4,.02.24
21.02.2024,Entertainment,"8,84",,4,.02.24
21.02.2024,Transport,"19,00",,4,.02.24
21.02.2024,Groceries,"12,54",,4,.02.24
22.02.2024,Regular,"50,00",звонки магти,5,.02.24
22.02.2024,Transport,"17,70",,5,.02.24
22.02.2024,Groceries,"161,18",,5,.02.24
22.02.2024,Other,"23,35","тетради, книга",5,.02.24
23.02.2024,Regular,"14,00",мтс,6,.02.24
23.02.2024,Delivery,"32,86",,6,.02.24
23.02.2024,Groceries,"2,59",,6,.02.24
23.02.2024,Transport,"40,40",,6,.02.24
23.02.2024,Hobby,"30,00",разовое занятие Vogue,6,.02.24
23.02.2024,Groceries,"18,48",,6,.02.24
24.02.2024,Transport,"7,00",,7,.02.24
24.02.2024,Groceries,"5,27",,7,.02.24
25.02.2024,Pets,"28,60",,1,.02.24
25.02.2024,Bad habits,"15,60",,1,.02.24
25.02.2024,Transport,"34,10",,1,.02.24
25.02.2024,Bad habits,"11,00",,1,.02.24
25.02.2024,Hobby,"90,00",,1,.02.24
26.02.2024,Regular,"32,00",magti,2,.02.24
26.02.2024,Transport,"28,60",,2,.02.24
26.02.2024,Regular,"250,00",ქართული,2,.02.24
26.02.2024,Groceries,"39,69",,2,.02.24
26.02.2024,Health,"6,07",,2,.02.24
26.02.2024,Transport,"16,00",,2,.02.24
27.02.2024,Transport,"13,40",,3,.02.24
27.02.2024,Outside lunch,"88,75",,3,.02.24
27.02.2024,Outside lunch,"114,00",,3,.02.24
27.02.2024,Groceries,"40,00",,3,.02.24
28.02.2024,Transport,"30,17",,4,.02.24
28.02.2024,Delivery,"33,99",,4,.02.24
28.02.2024,Groceries,"4,98",,4,.02.24
29.02.2024,Regular,"52,00",Чатжпт ,5,.02.24
29.02.2024,Groceries,"19,00",,5,.02.24
29.02.2024,Hobby,"13,00",Сетанта,5,.02.24
01.03.2024,Hobby,"19,50",Дижитал океан,6,.03.24
01.03.2024,Groceries,"9,59",,6,.03.24
01.03.2024,Transport,"15,20",,6,.03.24
01.03.2024,Groceries,"3,35",,6,.03.24
01.03.2024,Transport,"6,60",,6,.03.24
01.03.2024,Delivery,"18,44",,6,.03.24
01.03.2024,Groceries,"2,98",,6,.03.24
01.03.2024,Regular,"28,88",MTS (Raiffeisen),6,.03.24
01.03.2024,Hobby,"147,75",Ozon books (Raiffeisen),6,.03.24
02.03.2024,Regular,"158,87",English: IT & Digital (Tinkoff),7,.03.24
02.03.2024,Outside lunch,"38,13",Spot (Tinkoff),7,.03.24
02.03.2024,Groceries,"59,36",(Tinkoff),7,.03.24
02.03.2024,Bad habits,"18,92",(Tinkoff),7,.03.24
02.03.2024,Health,"10,66",(Tinkoff),7,.03.24
